title,companyname,location,salary,summary,description
"Startup seeks Business Development Manager or Exec with sky-...",Staple,Singapore,"$3,500 - $5,500 a month","Our technology harnesses machine learning, computer vision and OCR to standardise data and deliver data insights to our users..
Be business fluent in English.",None
"Data Scientist","KKT TECHNOLOGY PTE. LTD.",Queenstown,"$3,700 - $5,500 a month","As a junior data scientist you will be involved in all aspects of the data driven decision making process -data processing, model conceptualization, innovation,…","Roles & Responsibilities
Job Description & Requirements
At Holmusk we leverage data and advanced analytics to accelerate research and improve outcomes in behavioural health and chronic diseases. We focus on harnessing actionable insights from data for pharma, providers and payers. We develop predictive models based on real-world data and deploy them for patients and clinicians using solutions, such as, mobile apps and EMR integrated web apps.
As a junior data scientist you will be involved in all aspects of the data driven decision making process -data processing, model conceptualization, innovation, development and testing. You also get a chance to present the meaningful insights to the different levels of healthcare stakeholders and make a change.

Responsibilities
Develop predictive models on clinical and healthcare related datasets to address various business problems of healthcare and pharma clients through leveraging advanced statistical modeling, machine learning, or data mining techniques
Engage in both exploratory data analysis to identify trends and predictive data analysis to solve problems
Understand client needs, frame a problem in terms of application of data science and create a roadmap to execution
Learn about new and varied disease conditions and ability to communicate with subject matter experts
Create visualizations to effectively communicate the insights both internally and externally for both scientific and business audience

Requirements
Minimum
Understanding of statistical modeling, machine learning, data mining concepts and optimization techniques
Proficiency in Python
Experience with software development tools like Linux command line utilities, version control systems (git strongly preferred) and test-driven development
Familiarity with one or more machine learning and statistical modeling tools, such as statsmodels/lifelines, scikit-learn, Keras, TensorFlow, PyTorch
Strong analytical and quantitative problem-solving ability
Excellent communication, interpersonal relationship skills and a strong team player

Preferred
Knowledge and experience of working with relational databases and SQL
Strong knowledge of mathematics [CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]

[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]"
"Data Scientist","NextWave Partners",Singapore,None,"Work on core data science projects.
End to end data science solutions and model creation from data extraction, algorithm selection, to building and testing.","AdTech company with a revolutionary product
End to end data science solutions
Work on core data science projects
Contract role with the potential to convert to perm (full time) subject to performance
We are looking for a Data Scientist to join a forward-thinking tech company with responsibilities to solve business problems within the marketing and advertising industry.
Working with the technical team, you will be responsible for devising solutions to business and operational challenges, working with large data sets consisting of both structured and unstructured data.
Responsibilities
Develop data pipelines with automated and machine learning systems
Develop predictive models with monetized features
End to end data science solutions and model creation from data extraction, algorithm selection, to building and testing.
Build complex models and perform exploratory analysis on structured and unstructured data sets to extract insights
Research new machine learning solutions and algorithms to solve real life business problems
Strategize model testing and performance measuring with the objective of refining and improving the systems currently in place and act as a consultant to clients/users.
Identify and analyze new data sets based on business requirements and develop presentations to communicate insights
Requirements
Minimum three (3) years of experience in data science/analytics
Minimum Master’s degree in Computer Science, Engineering, Statistics or related field
Proficient in Python, SQL, AWS, Linux, and big data environments (Hadoop and Spark)
Ability to work in a big data environment
Creative thinking and able to work in a dynamic and fast paced environment
Strong stakeholder management and interpersonal skills
Reaching out
For a confidential discussion on this or any other opportunities available in the market please contact KarMun Cheah at karmun.cheah@next-wavepartners.com - Direct Line: +65 6692 9042
EA License No: 16S8303 - EA Registration No: R1877984"
"AI Chief Data Scientist","17MEDIA SG PTE. LTD.",Singapore,"$10,000 - $20,000 a month","We’re seeking an experienced data scientist to deliver that insight to us on a daily basis.
Analyze data for trends and patterns, and Interpret data with a…","Roles & Responsibilities
At 17 Media SG, we rely on powerfully insightful data to power our systems and solutions. We’re seeking an experienced data scientist to deliver that insight to us on a daily basis. Our ideal team member will have the mathematical and statistical expertise you’d expect, but a natural curiosity and creative mind that’s not so easy to find. As you mine, interpret, and clean our data, we will rely on you to ask questions, connect the dots, and uncover opportunities that lie hidden within—all with the ultimate goal of realizing the data’s full potential. You will join a team of data specialists, but will “slice and dice” data using your own methods, creating new visions for the future.

Objectives of this Role
Collaborate with product design and engineering to develop an understanding of needs
Research and devise innovative statistical models for data analysis
Communicate findings to all stakeholders
Enable smarter business processes—and implement analytics for meaningful insights
Keep current with technical and industry developments
Daily and Monthly Responsibilities
Work as the lead data strategist, identifying and integrating new datasets that can be leveraged through our product capabilities and work closely with the engineering team to strategize and execute the development of data products
Execute analytical experiments methodically to help solve various problems and make a true impact across various domains and industries
Identify relevant data sources and sets to mine for client business needs, and collect large structured and unstructured datasets and variables
Devise and utilize algorithms and models to mine big data stores, perform data and error analysis to improve models, and clean and validate data for uniformity and accuracy
Analyze data for trends and patterns, and Interpret data with a clear objective in mind
Implement analytical models into production by collaborating with software developers and machine learning engineers.
Communicate analytic solutions to stakeholders and implement improvements as needed to operational systems
Skills and Qualifications
Bachelor’s degree in statistics, applied mathematics, or related discipline
8+ years experience in data science
Proficiency with data mining, mathematics, and statistical analysis
Advanced pattern recognition and predictive modeling experience
Experience with Excel, PowerPoint, Tableau, SQL, and programming languages (i.e., Java/Python, SAS)
Comfort working in a dynamic, research-oriented group with several ongoing concurrent projects
Preferred Qualifications
Master’s degree in stats, applied math, or related discipline
5+ years of project management experience
Professional certifications [CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]

[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]"
"Junior Scientist","PRESTIGE BIOPHARMA PTE. LTD.",Singapore,"$3,000 - $4,000 a month","Assist in management and supervision of day to day laboratory operations and personnel including lab maintenance and monitoring, and study data recording,…","Roles & Responsibilities
Job Description & Requirements
Conduct studies under non GLP (Good Laboratory Practice) system compliant with US FDA and OECD GLP principles, including bio analytical.
Analytical and bio analytical studies and other investigations.
Manage work areas to ensure scientific integrity of studies conducted in such areas.
Supervise and train study personnel including technicians, junior research staff and interns on study/laboratory techniques and proper use of equipment.
Understand study background, objectives, design and criteria, and have full understanding of/familiarity with investigational drugs or medical devices to conduct studies in a high scientific quality and to train and guide study staff, interns and technicians.
Assist in management and supervision of day to day laboratory operations and personnel including lab maintenance and monitoring, and study data recording, report and SOPs writing.
Assist in preparation and coordination of regulatory inspections and guests visits/inspections.
Any additional duties as directed by Head of Research and Development. [CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]

[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]"
"Data Scientist","POINT72 ASIA (SINGAPORE) PTE. LTD.",Singapore,"$7,000 - $13,000 a month","2+ years of experience as a Data Scientist, quantitative researcher or in a similar role.
Identification of new data sets.
Programming skills in Python or C++.","Roles & Responsibilities
Identification of new data sets
Engaging with vendors to understand characteristics of datasets
Building processes and technology tools to ingest, tag and clean datasets
Analysis of datasets to generate descriptive statistics and propose potential applications of data
Research of potential “alpha signals” for presentation to Portfolio Managers
Monitoring and enhancing the automated data collection and cleansing infrastructure
Research on new technologies for improved data management and efficient retrieval
Ph.D. in computer science, mathematics, physics, statistics or another disciplines involving rigorous quantitative analysis techniques
2+ years of experience as a Data Scientist, quantitative researcher or in a similar role
Experience working with large data sets, including classification, regression, distribution analysis, and predictive modeling
Experience applying statistical tests to large data sets
Programming skills in Python or C++
Strong problem solving skills
High level of attention to detail a must
Strong oral and written communication skills
Ability to work both independently and collaboratively within a team [CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]

[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]"
"Data Scientist","Comtel Solutions Pte Ltd",Singapore,None,"Interpret data and analyses data with SQL, R, Octave, Python.
Develop data model that are meaningful and impactful on a critical market data application.","Develop data model that are meaningful and impactful on a critical market data application
Develop data model that are meaningful and impactful on a critical market data application.
Interpret data and analyses data with SQL, R, Octave, Python.
Build up analytic dashboard with QlikSense, Power BI, R Shinny.
Strong hands-on experience in Python, R, or Octave
Good knowledge in mathematic modelling, statistics, probabilities.
Understanding on Machine Learning technics, Neural Network, Linear regression, sentiment analysis, Clustering, anomaly detection, NLP, chatbot, Topic Modelling, Entity Recognition.
Experience in UI presentation, QlikSense, Power BI, R Shiny, orD3.js
Strong knowledge in SQL (Oracle, MySQL, MariaDB)
Familiar with Linux operation system"
"Data Engineer / Data Analyst","GMP RECRUITMENT SERVICES S PTE LTD",Singapore,"$7,000 - $8,000 a month","Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.",None
"Speech / Voice Scientist (Data Science)",Sentient.io,"Buona Vista","$7,500 - $11,000 a month","Source for different types of available data sets and combine them with company available data to create commercially valuable IP.",None
"Data Scientist","JobStudio Pte Ltd",Singapore,"$5,500 - $9,500 a month","Our client – an Internet company is searching for Data Scientist As a Data Scientist, you will apply your strategic and analytical skills to major company…",None
"Data Scientist - Singapore",Accenture,Singapore,None,"As well as be exposed to the challenges of using statistics in a business setting, such as incomplete data, biased data, large data sets, low signal-to-noise…",None
"Data Scientist",Dyson,Singapore,None,"You will also team up with Data Engineers to get advice and support on accessing data.
Experience in data cleaning and blending multiple data sources …",None
"Data Scientist","Hewlett Packard Enterprise",Singapore,None,"We have an exciting opportunity for a Data Scientist to join our team and make a difference!
HPE APJ Innovation Center Singapore focuses on providing customers…",None
""Data Scientist" "NLP" ,"Machine Learning"",Confidential,Singapore,None,"Â€¢A Bachelorâ€™s degree in Data Scientist or Computer Science (or equivalent experience).
Â€¢5 â€“ 10 years of data analytics exposure.",None
